1	abrégé	Comptes de capitaux
10	base	Capital et réserves
101	abrégé	Capital
1011	étendu	Capital souscrit – non appelé
1012	étendu	Capital souscrit – appelé, non versé
1013	étendu	Capital souscrit – appelé, versé
10131	étendu	Capital non amorti
10132	étendu	Capital amorti
1018	étendu	Capital souscrit soumis à des réglementations particulières
102	base	Fonds fiduciaires
104	base	Primes liées au capital social
1041	étendu	Primes d’émission
1042	étendu	Primes de fusion
1043	étendu	Primes d’apport
1044	étendu	Primes de conversion d’obligations en actions
1045	étendu	Bons de souscription d’actions
105	abrégé	Écarts de réévaluation
1051	étendu	Réserve spéciale de réévaluation
1052	étendu	Écart de réévaluation libre
1053	étendu	Réserve de réévaluation
1055	étendu	Écarts de réévaluation (autres opérations légales)
1057	étendu	Autres écarts de réévaluation en France
1058	étendu	Autres écarts de réévaluation à l’Étranger
106	base	Réserves
1061	abrégé	Réserve légale
10611	étendu	Réserve légale proprement dite
10612	étendu	Plus-values nettes à long terme
1062	base	Réserves indisponibles
1063	abrégé	Réserves statutaires ou contractuelles
1064	abrégé	Réserves réglementées
10641	étendu	Plus-values nettes à long terme
10643	étendu	Réserves consécutives à l’octroi de subventions d’investissement
10648	étendu	Autres réserves réglementées
1068	abrégé	Autres réserves
10681	étendu	Réserve de propre assureur
10688	étendu	Réserves diverses
107	base	Écart d’équivalence
108	abrégé	Compte de l’exploitant
109	base	Actionnaires : Capital souscrit – non appelé
11	base	Report à nouveau (solde créditeur ou débiteur)
110	étendu	Report à nouveau (solde créditeur)
119	étendu	Report à nouveau (solde débiteur)
12	abrégé	Résultat de l’exercice (bénéfice ou perte)
120	étendu	Résultat de l’exercice (bénéfice)
129	étendu	Résultat de l’exercice (perte)
13	base	Subventions d’investissement
131	base	Subventions d’équipement
1311	étendu	État
1312	étendu	Régions
1313	étendu	Départements
1314	étendu	Communes
1315	étendu	Collectivités publiques
1316	étendu	Entreprises publiques
1317	étendu	Entreprises et organismes privés
1318	étendu	Autres
138	base	Autres subventions d’investissement (même ventilation que celle du compte 131)
139	base	Subventions d’investissement inscrites au compte de résultat
1391	base	Subventions d’équipement
13911	étendu	État
13912	étendu	Régions
13913	étendu	Départements
13914	étendu	Communes
13915	étendu	Collectivités publiques
13916	étendu	Entreprises publiques
13917	étendu	Entreprises et organismes privés
13918	étendu	Autres
1398	base	Autres subventions d’investissement (même ventilation que celle du compte 1391)
14	base	Provisions réglementées
142	base	Provisions réglementées relatives aux immobilisations
1423	étendu	Provisions pour reconstitution des gisements miniers et pétroliers
1424	étendu	Provisions pour investissement (participation des salariés)
143	base	Provisions réglementées relatives aux stocks
1431	étendu	Hausse des prix
1432	étendu	Fluctuation des cours
144	base	Provisions réglementées relatives aux autres éléments de l’actif
145	abrégé	Amortissements dérogatoires
146	abrégé	Provision spéciale de réévaluation
147	abrégé	Plus-values réinvesties
148	abrégé	Autres provisions réglementées
15	abrégé	Provisions
151	base	Provisions pour risques
1511	étendu	Provisions pour litiges
1512	étendu	Provisions pour garanties données aux clients
1513	étendu	Provisions pour pertes sur marchés à terme
1514	étendu	Provisions pour amendes et pénalités
1515	étendu	Provisions pour pertes de change
1516	étendu	Provisions pour pertes sur contrats
1518	étendu	Autres provisions pour risques
153	base	Provisions pour pensions et obligations similaires
154	base	Provisions pour restructurations
155	base	Provisions pour impôts
156	base	Provisions pour renouvellement des immobilisations (entreprises concessionnaires)
157	base	Provisions pour charges à répartir sur plusieurs exercices
1572	étendu	Provisions pour gros entretien ou grandes révisions
158	base	Autres provisions pour charges
1581	étendu	Provisions pour remises en état
16	abrégé	Emprunts et dettes assimilées
161	base	Emprunts obligataires convertibles
162	base	Obligations représentatives de passifs nets remis en fiducie
163	base	Autres emprunts obligataires
164	base	Emprunts auprès des établissements de crédit
165	base	Dépôts et cautionnements reçus
1651	étendu	Dépôts
1655	étendu	Cautionnements
166	étendu	Participation des salariés aux résultats
1661	étendu	Comptes bloqués
1662	étendu	Fonds de participation
167	base	Emprunts et dettes assortis de conditions particulières
1671	base	Émissions de titres participatifs
1674	base	Avances conditionnées de l’État
1675	base	Emprunts participatifs
168	base	Autres emprunts et dettes assimilées
1681	étendu	Autres emprunts
1685	étendu	Rentes viagères capitalisées
1687	étendu	Autres dettes
1688	étendu	Intérêts courus
16881	étendu	sur emprunts obligataires convertibles
16883	étendu	sur autres emprunts obligataires
16884	étendu	sur emprunts auprès des établissements de crédit
16885	étendu	sur dépôts et cautionnements reçus
